Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,Weather_Condition,Junction,Crossing,Railway_Crossing,Stop_Sign,Speed_Breaker,Severity
Highway,Dry,103.5382032115572,100,Truck,18.019821203309668,66.59386304993345,262.7342681471789,Rainy,T-Junction,0,0,1,1,Medium
Urban,Wet,61.165577005438365,60,Bike,21.853480516781854,73.71860234460426,564.5596754369108,Rainy,No,0,1,0,1,High
Rural,Dry,91.46902709534953,80,Bike,14.998895820614894,40.62296143850151,532.938661176348,Rainy,No,1,0,1,0,Medium
Rural,Damaged,97.57570586527696,80,Car,37.21596131989137,42.91945289580933,786.3283089655587,Clear,T-Junction,1,0,0,0,High
Highway,Wet,96.18834374317593,100,Bike,23.366938933325933,60.65306533105855,748.5161878466138,Storm,No,0,0,0,1,High
Urban,Damaged,71.71279511679977,60,Truck,31.522151320872947,94.04681266324543,513.7114281987353,Clear,T-Junction,0,1,1,0,High
Rural,Snow,62.48035053959407,80,Bus,24.4402142430358,97.4369216706364,87.75417513959684,Rainy,No,1,0,1,1,Medium
Urban,Damaged,65.26141309989195,60,Bike,32.90867391559793,89.60679015198089,258.9497367407631,Rainy,T-Junction,0,1,0,1,High
Rural,Wet,65.69373756027512,80,Bike,38.96522658083916,29.385280722056795,141.95747713247874,Storm,Crossroad,1,0,1,1,High
Urban,Wet,58.460440022058904,60,Bus,37.730478683651924,22.48054590941991,878.1921553581769,Clear,No,0,1,0,1,Medium
Highway,Snow,97.08322042249,100,Bike,21.908093132573256,20.9874358636862,220.89998586522995,Clear,T-Junction,1,1,0,0,High
Highway,Dry,83.26979521512503,100,Bike,14.336975014014408,33.45902244325351,65.64622342347492,Foggy,Crossroad,0,1,1,1,High
Urban,Snow,54.42362820919645,60,Bus,31.765065406349944,73.26216554801456,904.2882323505505,Clear,No,1,0,0,1,Medium
Urban,Damaged,67.65587168113927,60,Car,16.064428613667374,96.22671466102052,903.7799788611289,Foggy,Crossroad,0,1,1,1,High
Urban,Wet,58.79029997463322,60,Car,24.844903500027236,47.283333852594396,286.7963857887495,Rainy,No,0,0,1,0,Low
Rural,Snow,89.55733920401802,80,Bike,20.64303869995173,45.124568142690045,629.7695662238244,Clear,Crossroad,0,0,1,0,High
Highway,Damaged,103.78027453340684,100,Truck,33.387835529977494,90.85591708607404,319.11386489818324,Clear,No,0,1,0,1,Medium
Rural,Wet,97.91359353360717,80,Car,26.79947246540889,46.963972684062306,161.80242310933488,Storm,No,1,1,1,1,High
Highway,Snow,84.36596370516065,100,Bus,22.85477468504645,33.71727971210351,668.5524337261809,Foggy,T-Junction,0,0,1,0,Medium
Rural,Snow,67.83223615988696,80,Bus,25.97517202557108,98.08215412222856,864.3823159293796,Storm,Crossroad,0,0,0,0,Medium
Rural,Dry,63.520665768696404,80,Bus,23.677203124078293,49.830661529552394,963.107321914816,Rainy,No,1,0,1,1,Low
Urban,Snow,70.46434190037279,60,Car,36.3676384830209,59.22505059804132,419.3189203152822,Storm,No,1,0,1,0,High
Urban,Wet,76.0180381227215,60,Car,26.5443569637006,86.87788421606483,693.5645769683849,Clear,T-Junction,0,0,0,1,Medium
Highway,Wet,98.82713304314863,100,Bike,35.342826745721915,76.77148246267203,452.2957767180281,Storm,T-Junction,0,1,0,0,High
Rural,Damaged,73.94321111113851,80,Truck,17.780837851877127,99.77033968450228,452.90642955015954,Storm,Crossroad,1,1,0,1,High
Rural,Damaged,103.7379935531306,80,Car,37.491038998024635,97.04993555364712,788.1586955812039,Foggy,No,0,1,1,1,High
Highway,Snow,106.5311026485242,100,Truck,18.09660283498057,38.367090304499676,953.0482501082494,Storm,No,0,0,0,1,High
Urban,Wet,48.10979662057422,60,Truck,36.19545737807415,59.29227694632264,628.1647008032108,Storm,T-Junction,0,0,1,0,Medium
Rural,Snow,94.40750359038717,80,Truck,23.47797202183613,81.7504464909188,501.20800248230864,Rainy,T-Junction,1,1,1,1,High
Rural,Dry,86.05174670753087,80,Bus,13.48803055992093,89.06211870056964,229.8180389576773,Clear,T-Junction,0,0,0,0,Medium
Urban,Wet,75.61521101140686,60,Bike,18.953627158184133,84.56016358708324,775.6044645879267,Rainy,T-Junction,1,0,1,0,High
Urban,Damaged,88.0237057187257,60,Truck,27.773361914303194,71.48645991192396,522.1096666646571,Foggy,No,1,1,0,1,High
Urban,Wet,67.04440541186196,60,Bike,12.121893460452036,92.2589286789469,416.5549495594829,Foggy,T-Junction,1,1,1,0,High
Highway,Snow,92.92145931224944,100,Car,14.239133958959172,49.11205062769348,308.6532232974941,Storm,Crossroad,1,0,1,0,High
Rural,Damaged,84.84503669599948,80,Truck,25.510462903519453,90.63014275840249,777.3224555256811,Rainy,Crossroad,1,1,1,1,High
Urban,Damaged,77.16315227047849,60,Bike,31.989432461201368,86.57336024134402,218.54686930480594,Rainy,No,0,0,0,0,High
Rural,Wet,78.81573968523622,80,Bike,16.58369258281689,84.37261608540724,48.88096277683261,Storm,No,1,0,0,1,High
Urban,Dry,34.302692043469015,60,Car,21.020309130572137,99.12440927276268,907.0602662379496,Storm,T-Junction,0,1,1,1,Medium
Urban,Snow,65.4716481414512,60,Truck,37.54814300034839,23.870612735117255,898.5849380107883,Foggy,T-Junction,0,1,0,0,High
Urban,Dry,66.76018364408871,60,Bus,14.397630267214215,21.91142733419742,23.93340464920074,Clear,T-Junction,1,1,0,1,High
Rural,Wet,90.05117693920694,80,Bus,12.949604655054001,90.17164411564802,406.0019452465952,Storm,T-Junction,0,1,1,0,High
Rural,Snow,90.26293812050348,80,Bike,36.1392506077611,61.78908251372579,683.6582510478909,Storm,T-Junction,0,0,1,0,High
Rural,Damaged,89.0532389963367,80,Bike,20.82525575167486,48.32870897903058,478.16900069472035,Rainy,T-Junction,0,1,0,1,High
Highway,Snow,89.82928534830403,100,Bus,29.584447292055557,51.64184584711562,829.5456461914847,Storm,T-Junction,1,0,0,1,High
Highway,Snow,74.79744626064459,100,Truck,33.16369969529426,76.98762059375076,716.4289203586188,Storm,T-Junction,0,1,1,1,High
Rural,Wet,97.69489899878413,80,Bus,23.22841030108961,84.38475576781785,788.7673478354211,Foggy,No,1,0,1,1,High
Urban,Damaged,63.38487393266893,60,Bike,22.71623189962365,23.77234826672875,268.01837666574676,Clear,No,1,1,1,0,High
Urban,Damaged,81.84176876000086,60,Car,34.537722487124974,51.51995244262788,231.3329319531738,Rainy,Crossroad,1,1,1,1,High
Urban,Dry,91.13156717088052,60,Truck,22.518769841482776,78.11599981584463,555.0374336159597,Rainy,Crossroad,0,1,0,0,Medium
Highway,Wet,90.01136429314431,100,Truck,13.73489712789887,27.00375090084129,734.4707799923528,Rainy,No,1,1,1,1,Medium
Rural,Wet,87.48299476343156,80,Bike,15.480819079871232,32.73607980768381,478.21034293515254,Rainy,Crossroad,0,0,1,1,High
Rural,Snow,76.33727342581554,80,Bike,13.47275062347646,40.22274509179435,34.298543748021736,Storm,Crossroad,1,1,0,0,High
Highway,Damaged,93.77841942209959,100,Truck,24.264553435530818,96.46336843293614,528.8554099024501,Clear,Crossroad,0,1,1,0,Medium
Highway,Wet,108.03950594952957,100,Car,25.88330254978543,88.0089929285439,924.6049808820501,Rainy,No,0,0,0,1,Medium
Rural,Wet,86.02501295729884,80,Bus,27.12997795656247,70.35808411389029,364.43689047356514,Storm,T-Junction,1,0,0,1,High
Urban,Dry,61.24903712316632,60,Truck,22.697194955697455,34.28888810973143,497.53825717993413,Rainy,Crossroad,1,0,0,0,Medium
Urban,Damaged,62.66109600830113,60,Bike,23.123601867250493,39.811901712091796,284.627034532947,Clear,Crossroad,1,1,0,1,High
Urban,Dry,44.035167498765446,60,Car,31.498716923367297,80.53954994361922,146.90870221472647,Storm,No,0,0,0,1,Medium
Highway,Wet,118.21154578105673,100,Bike,15.762282822898635,25.33048907279081,613.8809568027215,Clear,No,1,0,1,1,High
Rural,Wet,81.4718663042671,80,Car,27.649661494991406,35.17379030190413,573.5305028960966,Foggy,T-Junction,1,1,0,1,High
Rural,Snow,73.38740473944502,80,Car,33.72430121751201,26.12584421188898,285.7930247729341,Rainy,Crossroad,1,0,0,1,Medium
Rural,Dry,98.71291762120097,80,Bus,15.885006967964953,88.81910532052528,813.315787319342,Foggy,Crossroad,1,0,0,1,High
Highway,Damaged,101.16640600964209,100,Car,18.564474032161172,59.89662446743832,852.3609126369423,Rainy,T-Junction,0,0,1,1,Medium
Highway,Damaged,101.83428392876434,100,Bus,35.207357957711196,98.29054483734693,52.94699519482716,Rainy,Crossroad,1,0,1,0,High
Highway,Dry,104.62082187255108,100,Bus,32.80224403103986,75.66237222976531,224.95774496224254,Storm,Crossroad,1,0,1,1,High
Urban,Dry,61.730553284304605,60,Bus,19.874479449797327,28.519131117035663,320.13339397928684,Foggy,T-Junction,0,0,1,0,Medium
Highway,Dry,99.0329829393633,100,Bike,39.91783668289608,90.87510736140263,863.634005809162,Foggy,T-Junction,1,0,1,1,High
Rural,Snow,95.61652176326132,80,Car,20.816837961671407,59.39413752708078,538.1196261642584,Storm,Crossroad,1,0,1,1,High
Rural,Damaged,69.90457045853037,80,Car,28.1546368112599,70.67484094194293,739.9361095320546,Foggy,Crossroad,1,1,1,0,High
Urban,Dry,52.91100337667817,60,Bike,27.55852132120426,34.46120123874438,852.3854063507572,Clear,No,1,1,0,1,Medium
Rural,Dry,90.444621105726,80,Truck,36.793678044382276,31.827143815586716,472.78520462219586,Rainy,T-Junction,1,1,0,1,Medium
Rural,Damaged,71.91622749393969,80,Car,31.627459418531313,68.15022314358494,59.6261091281305,Rainy,T-Junction,1,0,1,1,High
Highway,Damaged,109.83035411057787,100,Bike,11.423497016244223,20.525109897289404,948.7641544982719,Foggy,T-Junction,1,0,0,0,High
Urban,Wet,64.04496083241462,60,Bus,36.391136903707164,77.38188526365155,544.7982207487428,Rainy,Crossroad,0,0,1,1,Medium
Highway,Dry,81.26175024311742,100,Bus,26.99838932130714,70.81297827917498,212.23638513159085,Rainy,No,0,1,1,0,Low
Rural,Damaged,80.42735445315992,80,Car,19.972545395695725,34.79605733172818,170.5529484168614,Foggy,Crossroad,0,1,1,1,High
Urban,Dry,67.48131493421478,60,Truck,37.39819579257301,90.34685798394172,617.8946644554077,Clear,No,0,1,0,1,Medium
Urban,Snow,64.91776871139763,60,Bike,29.053685247148863,25.656594049555537,293.83768215144613,Clear,Crossroad,1,1,0,1,High
Urban,Damaged,74.96478282496572,60,Bus,20.871257571539914,56.329402997112254,551.5273729811466,Foggy,No,0,0,1,1,High
Rural,Dry,70.18851037131914,80,Bus,39.120223426784705,67.9944828245184,617.6536275099011,Foggy,Crossroad,1,1,1,1,Medium
Highway,Wet,98.81376694922228,100,Bike,30.875040415674228,37.34499277678214,328.0147659996664,Storm,No,0,1,0,0,High
Urban,Snow,49.49799489676121,60,Bus,39.544432959820206,84.7192204948952,718.6301704612516,Clear,No,1,1,0,1,Medium
Highway,Dry,95.54783975424664,100,Truck,29.42776234160892,51.974054436066275,899.3596958348669,Storm,No,0,0,0,0,Low
Urban,Damaged,26.207058978041445,60,Car,25.095925324063824,85.47220507970886,191.18307703843124,Clear,No,0,0,0,0,Medium
Urban,Dry,64.04653984139749,60,Bus,19.454427564935255,94.5057719495851,863.392529324607,Foggy,Crossroad,1,1,0,1,High
Highway,Dry,118.67372712458916,100,Bike,23.84637289699856,83.06926971097073,641.7123576862263,Foggy,T-Junction,0,1,1,0,High
Rural,Damaged,83.04026604218689,80,Bus,27.98380719996743,34.635632265313816,303.2595075111174,Clear,T-Junction,0,0,0,0,Medium
Highway,Dry,95.22305840013786,100,Truck,26.536108917864137,51.86738036757623,229.0887444587781,Foggy,T-Junction,1,0,1,1,Medium
Rural,Damaged,93.83890094214593,80,Bike,34.357861031756514,88.53234208972174,320.38595832096297,Rainy,No,0,0,1,0,High
Highway,Snow,104.23785944816632,100,Car,16.105145281955522,88.60865645524159,587.6116212445347,Rainy,Crossroad,1,1,1,1,High
Urban,Wet,61.82776863814503,60,Car,16.091368042447932,77.1315000618374,263.6644542743392,Foggy,No,1,0,1,0,High
Highway,Dry,84.82304888076337,100,Car,19.801570513759046,51.81932464119078,470.79449411534415,Clear,Crossroad,1,0,1,1,Low
Highway,Dry,105.51852177957514,100,Car,18.486590225138087,85.53486735180955,880.0569287723149,Storm,Crossroad,0,1,1,0,High
Urban,Snow,73.74463659755189,60,Car,33.05333627155042,46.7740817306563,555.8342882870344,Clear,Crossroad,0,0,1,0,Medium
Urban,Dry,58.0601632135839,60,Truck,10.42621021836372,82.2456602969882,929.1188527663655,Storm,No,0,0,0,1,Low
Urban,Snow,52.93605516371574,60,Bus,30.91256457817459,68.69977307231949,627.6621696325002,Foggy,Crossroad,0,1,1,0,High
Rural,Dry,70.56314969388555,80,Bus,28.245578781521132,83.81097499005855,943.5553670053073,Clear,Crossroad,0,1,1,1,Low
Rural,Damaged,75.52783038914681,80,Bike,17.65703943785118,94.61532292604312,640.9813080444846,Foggy,Crossroad,1,0,1,0,High
Highway,Damaged,120.06263005333633,100,Bike,21.229933095717104,98.87159496423814,500.5420972315155,Storm,T-Junction,1,0,0,1,High
Urban,Wet,47.20730914627225,60,Truck,35.15750666564482,22.401412077234095,694.7919745425036,Storm,No,0,1,0,1,Medium
Urban,Damaged,51.86282315660738,60,Truck,32.72502593887162,36.32970849077517,244.95001338987262,Foggy,T-Junction,0,1,0,1,High
Rural,Wet,63.539660469669116,80,Bus,25.152230582037493,92.38037457354554,609.7611473335087,Rainy,Crossroad,1,1,1,1,Medium
Urban,Wet,56.300118199209265,60,Truck,28.493488683057294,99.55744023566038,382.3021799770712,Rainy,No,0,0,1,1,Low
Urban,Damaged,58.51806307946895,60,Car,29.37757174911081,40.52769950512693,944.3297206889144,Rainy,No,0,0,1,1,Low
Urban,Damaged,41.22885552859228,60,Bike,20.04231821783791,73.03929577111586,596.6127692226456,Rainy,No,1,0,1,1,Medium
Urban,Dry,32.945232264364336,60,Bike,10.132567787379966,23.18273781157516,139.8993110278534,Foggy,Crossroad,0,1,0,0,High
Urban,Wet,41.98406723543064,60,Bus,35.56698871913491,47.658459489776384,482.7066807914777,Clear,No,0,1,1,1,Medium
Highway,Damaged,99.16228880781135,100,Bus,35.92147111085919,59.12789055171213,440.98206711416907,Clear,No,0,1,1,0,Medium
Urban,Damaged,52.82673196591347,60,Bus,20.84750414657517,20.114825059895168,533.61138997892,Foggy,Crossroad,1,0,1,0,High
Urban,Snow,52.88947817023068,60,Bus,24.276514081941762,58.3796769718566,46.16489476909745,Clear,No,1,1,1,1,Medium
Urban,Wet,57.41625426755458,60,Truck,32.250918349975414,63.17227722120883,949.7444448065537,Clear,No,0,0,1,0,Low
Highway,Snow,111.31646319994498,100,Truck,34.81294285740593,86.90202811582526,417.42813320674935,Clear,No,1,0,1,1,Medium
Highway,Damaged,87.1399243098584,100,Bus,20.291088531170182,37.91484665629171,959.0365883648105,Clear,No,1,1,1,1,Medium
Highway,Snow,96.43061649572314,100,Bike,36.47054021952741,75.61477841704945,965.7374295902661,Rainy,Crossroad,0,1,0,0,High
Urban,Dry,77.62231352133787,60,Truck,10.35593911430402,77.89851428166011,699.6084926421496,Clear,Crossroad,0,0,0,1,Medium
Rural,Damaged,62.365120759317264,80,Bike,32.70860909400796,66.74489096007629,274.82406687604794,Foggy,No,1,0,0,1,High
Urban,Wet,73.2048029951207,60,Bike,29.64212928901104,68.18233054523091,289.16466573456023,Foggy,No,0,1,0,0,High
Urban,Snow,49.81005936865436,60,Car,12.66867664112672,77.51669356696507,804.3725689106959,Storm,No,1,0,1,1,Medium
Urban,Snow,74.84708890399256,60,Truck,19.877255067594945,70.90279577554031,977.1588992511294,Storm,T-Junction,1,0,1,1,High
Urban,Dry,57.939757921995486,60,Bike,12.780291961500627,31.25276459847661,971.9821307585819,Storm,T-Junction,1,1,1,1,High
Rural,Wet,48.84187595378324,80,Truck,22.3513248974134,99.55533537368011,306.7387749089277,Foggy,No,0,0,1,0,Medium
Highway,Damaged,108.6012959926992,100,Car,30.41553366836794,34.866764492855026,25.265422348921682,Rainy,No,0,1,0,0,High
Urban,Damaged,62.272951795566755,60,Car,15.053006431797009,84.38702643822138,196.6894401627521,Clear,T-Junction,0,1,1,0,High
Highway,Damaged,88.26752890272014,100,Bus,19.641833042173214,33.73581925025447,779.3766152293524,Rainy,No,0,0,1,0,Low
Rural,Snow,89.18322054590419,80,Bike,36.33034751116167,62.86805421281392,483.73573847589097,Rainy,Crossroad,0,0,0,1,High
Rural,Dry,95.68315037578024,80,Car,36.73325541737605,69.46039769005503,560.0234007810343,Rainy,T-Junction,1,1,0,0,Medium
Highway,Snow,91.21917982864662,100,Bus,13.675044710057984,53.305442171589554,305.252027735734,Foggy,No,1,1,0,1,Medium
Highway,Wet,104.38284699874707,100,Bike,38.05446181286703,53.92268290226991,108.2998658424562,Storm,Crossroad,1,0,0,0,High
Urban,Snow,72.88269707846337,60,Car,27.553502760437965,52.312249102699376,867.2194968143364,Rainy,T-Junction,1,0,0,1,High
Rural,Wet,87.59744805593824,80,Bus,32.48193333631035,39.52436481196146,448.1855937257222,Storm,T-Junction,0,1,1,0,High
Urban,Wet,61.30606949738523,60,Car,18.73743324629706,32.191650143019004,903.089513573759,Clear,T-Junction,1,0,0,1,High
Urban,Damaged,56.83271786243584,60,Bike,30.96978432695166,34.36057906934349,695.4117278483685,Clear,Crossroad,1,0,1,1,High
Rural,Snow,76.57080482723039,80,Bus,38.98443587420132,63.0360081940692,610.9604696730217,Storm,No,1,0,0,1,Medium
Highway,Damaged,83.19405163496495,100,Bus,34.17122614623694,64.70678557464225,790.4343244499403,Foggy,No,0,1,0,0,Medium
Rural,Dry,89.75484626043281,80,Truck,39.706696427566044,52.428300734296364,919.4137798207488,Clear,No,1,0,1,0,Medium
Rural,Dry,87.1349346372314,80,Car,19.125868891981327,61.7560175826661,306.70773237312306,Rainy,Crossroad,0,0,1,0,Medium
Rural,Snow,88.32423738217547,80,Bus,30.745561603001022,43.28548767529156,209.70115120430424,Rainy,No,0,1,0,0,Medium
Urban,Snow,36.81862698206085,60,Car,25.56663842198146,76.96658896807541,75.11312026358394,Storm,No,0,0,1,0,High
Urban,Dry,62.86826544712467,60,Truck,18.763253518368963,98.5553554236118,202.18216887597094,Storm,Crossroad,1,0,0,1,High
Urban,Snow,66.99529978549013,60,Car,14.34771897524672,25.19394216853754,12.859625135247363,Storm,Crossroad,0,0,0,1,High
Rural,Dry,93.98693485205506,80,Car,11.493983293963812,63.84507012435142,363.7756477770991,Clear,No,1,1,1,1,Medium
Urban,Dry,46.357466969692545,60,Bike,13.53424193461736,24.70307355565346,482.90786322189325,Clear,Crossroad,0,0,0,1,Medium
Highway,Dry,123.8237936510168,100,Car,36.63621465640735,52.3262205262397,482.9657213221788,Rainy,Crossroad,0,0,0,0,Medium
Highway,Damaged,113.70883555217367,100,Truck,36.79910469452638,39.07296843229841,543.0408410924447,Storm,Crossroad,0,1,1,1,High
Rural,Wet,79.69999341364479,80,Bus,38.18898689387258,66.01598438920632,516.3814675141182,Storm,Crossroad,1,1,1,1,High
Rural,Dry,74.48633661499314,80,Bike,12.015456206804302,35.67649900002103,181.558434817442,Storm,No,0,1,1,0,High
Rural,Wet,111.13262558869383,80,Bike,37.31331412308555,63.14723448544037,829.0601631741242,Foggy,No,1,1,1,0,High
Highway,Snow,108.61866851275317,100,Bike,31.709135374632833,56.276174769100265,373.211507262116,Clear,No,0,0,0,0,High
Highway,Wet,102.02227547352561,100,Bus,28.69575684731574,31.515597478820922,920.2650656753542,Storm,T-Junction,1,1,0,1,High
Urban,Damaged,72.9936798675013,60,Truck,30.529790840059167,84.05201578082932,513.015793743504,Foggy,No,1,1,0,1,High
Rural,Snow,82.16387130451339,80,Car,20.303913375689273,63.24932743369514,57.85871101640497,Clear,T-Junction,0,1,0,0,High
Urban,Snow,62.27901470854266,60,Car,23.98039020196216,26.39205860576281,763.7379557842606,Foggy,Crossroad,0,1,0,1,High
Highway,Damaged,74.3987817948578,100,Bus,29.453365292163106,73.46500811542016,707.4139404780396,Foggy,Crossroad,0,0,1,0,Medium
Highway,Damaged,98.71190584956327,100,Car,29.577981729443803,39.66488907104165,390.50677821202004,Rainy,Crossroad,0,1,0,1,Medium
Urban,Snow,79.39545796280063,60,Bike,20.598476577241605,26.859356645700956,586.4496704195926,Clear,No,1,0,0,0,High
Urban,Damaged,62.20439076972707,60,Truck,14.661428740736913,85.30042510676246,935.2755925216948,Foggy,T-Junction,1,0,1,0,High
Urban,Dry,47.46531322178479,60,Bike,37.19446085655862,96.62974571666582,907.6469678629213,Rainy,No,1,1,1,1,Medium
Rural,Damaged,77.62126478962851,80,Bike,13.118799469193743,24.169832803786342,967.6151073139455,Foggy,T-Junction,0,1,1,1,High
Urban,Damaged,71.31340327685483,60,Car,13.97377412223431,89.42324763508692,554.0431951954796,Storm,Crossroad,1,0,1,0,High
Rural,Dry,77.54484413224162,80,Bus,25.45059623325146,83.66048148988013,850.5840253815508,Rainy,Crossroad,0,0,0,0,Low
Rural,Snow,82.92377080332746,80,Bus,31.03287549705179,66.43076655002423,159.9233923084758,Storm,T-Junction,1,1,0,0,High
Highway,Damaged,101.70475280970786,100,Truck,33.23948116596419,68.08118935670662,828.3129803654995,Clear,T-Junction,0,1,0,1,High
Urban,Damaged,51.81483654646343,60,Bike,37.861725498873795,39.48824671382853,656.3558022420283,Rainy,T-Junction,1,0,1,0,High
Highway,Damaged,102.21112299077296,100,Bus,13.475745418166833,37.94194240763226,995.5648501154371,Rainy,Crossroad,0,0,1,1,Medium
Rural,Snow,78.1842837436531,80,Bike,37.23852979148921,47.41402790248468,900.4380439499314,Rainy,No,1,0,0,1,Medium
Rural,Wet,93.04246813139962,80,Bus,30.353339195342734,41.055346453122965,325.22320744222066,Clear,T-Junction,0,0,1,1,Medium
Rural,Snow,71.22076846466359,80,Bus,17.752955838408216,57.802570307893475,699.6985574731975,Storm,T-Junction,0,1,0,1,High
Urban,Dry,71.2958426493479,60,Truck,14.23838153913395,63.69237006164462,34.90345203925325,Rainy,Crossroad,0,1,0,1,High
Urban,Snow,60.66826806956599,60,Bus,34.810279733207935,92.05595071557424,840.746648899966,Storm,No,0,1,1,0,High
Highway,Dry,118.70356800853122,100,Truck,17.33058678311762,51.38290099772301,399.93591482918316,Foggy,No,1,1,1,1,Medium
Highway,Snow,86.77253594170978,100,Bike,18.514364663185702,37.88796762706711,269.36981945266126,Foggy,No,1,1,1,1,High
Urban,Snow,80.73989150993654,60,Bike,15.724760692222457,54.726039840618085,700.9650912884606,Clear,T-Junction,1,0,0,0,High
Urban,Snow,52.09888023954258,60,Bus,36.241330760380414,78.63991091598749,149.00348880524976,Storm,Crossroad,1,1,1,0,High
Rural,Wet,97.22824830357311,80,Car,12.043872538656775,45.214754658637595,290.1821091855438,Foggy,No,0,1,1,1,High
Highway,Wet,118.75808996386542,100,Truck,25.30954058192625,62.268855475965495,891.7836189007822,Clear,Crossroad,0,1,0,1,High
Rural,Dry,60.344536820227574,80,Truck,28.342146017710174,86.48488023963759,472.6661588027999,Storm,Crossroad,0,1,1,1,Medium
Urban,Wet,53.56370718425687,60,Truck,39.70533543729613,90.56811389503342,710.0574572883896,Storm,Crossroad,1,0,1,0,High
Rural,Damaged,79.21594518125995,80,Bus,35.81959678193954,83.68338667317312,646.5816859295221,Storm,T-Junction,0,0,1,1,Medium
Highway,Wet,98.30113622049889,100,Car,13.303215952704255,36.02037522548271,111.88024650016385,Rainy,T-Junction,0,1,1,1,High
Urban,Damaged,84.91905018382795,60,Truck,21.711215575208065,52.62985973261888,72.63566858223672,Foggy,No,0,1,1,0,High
Urban,Dry,63.15749559490358,60,Bus,19.034442702027505,55.68548401948429,805.0185350877983,Foggy,No,1,0,1,1,Medium
Highway,Damaged,122.53384409904737,100,Car,34.773395167349385,44.10310589049863,643.9215610257337,Clear,Crossroad,0,0,1,1,High
Rural,Damaged,76.28031995964807,80,Bike,31.455348554585488,56.94548251168168,37.409345912394954,Storm,T-Junction,1,0,1,1,High
Rural,Snow,83.15705243540968,80,Car,22.176632990513454,73.01027958798375,147.1123523175729,Storm,T-Junction,0,0,0,0,High
Rural,Damaged,71.35462009790498,80,Bus,19.75084294919982,76.46087201038142,587.2552431419784,Rainy,No,0,1,1,0,Medium
Urban,Snow,47.58649519518525,60,Car,34.98747605812309,27.72859722267091,442.7496520237241,Foggy,T-Junction,0,1,1,1,High
Highway,Damaged,112.5165440846757,100,Bike,29.76318880503181,91.11944369800997,327.09332709695747,Rainy,T-Junction,0,1,1,1,High
Rural,Wet,91.40466651760093,80,Bike,19.90729370259977,70.3181736204183,452.4095227893895,Clear,T-Junction,1,1,0,1,High
Rural,Snow,71.57710692554001,80,Bike,19.840618496972873,65.62738185825233,883.4524798008474,Rainy,T-Junction,1,1,0,1,High
Highway,Damaged,97.456360384318,100,Bus,34.6484610860635,29.464373927030792,324.191356245686,Rainy,No,1,0,0,1,Medium
Rural,Dry,53.60231358116906,80,Truck,13.19325026914778,86.22121641312052,320.75518002470517,Storm,T-Junction,0,0,0,0,Medium
Urban,Dry,44.56163533985658,60,Truck,29.571450625685138,33.11546798379513,470.15904843684774,Storm,No,0,1,0,1,Medium
Rural,Damaged,66.92192717321008,80,Bus,30.441529902135134,68.82151177881312,222.9468441294786,Clear,T-Junction,0,0,1,0,Medium
Urban,Snow,57.921325600689485,60,Car,39.77483277366769,38.347732729041255,650.7291009788298,Rainy,Crossroad,1,0,0,0,Medium
Highway,Wet,119.20829114616778,100,Bus,25.66989514516565,67.91931061035828,30.323331801968976,Foggy,No,0,1,0,0,High
Highway,Snow,116.63386537745194,100,Bus,37.013241493087584,91.1965489966899,630.4568511015071,Foggy,Crossroad,0,0,1,1,High
Urban,Snow,67.8934095023651,60,Bus,19.683654112439797,97.3474328236978,491.32301399100743,Storm,No,1,0,0,1,High
Urban,Damaged,44.93271861724857,60,Car,11.010969040491279,83.52583587349287,981.7787354141012,Foggy,T-Junction,1,1,0,0,High
Highway,Damaged,108.69001204794058,100,Truck,22.50061510749122,47.541166351789734,151.390734631019,Storm,No,0,1,1,1,High
Highway,Snow,101.25732686971934,100,Truck,34.275570617623586,40.18761659162142,843.0746444966748,Foggy,T-Junction,0,1,1,1,High
Urban,Dry,43.74435146013661,60,Bike,27.495719605090404,29.918942615233348,326.32364825764176,Clear,Crossroad,1,0,1,0,Medium
Urban,Snow,49.52338464714391,60,Car,38.0617703164149,93.14492375960921,658.111996299209,Clear,T-Junction,1,1,0,0,Medium
Urban,Snow,55.257733734285715,60,Bike,10.765469133977508,50.51936575160052,702.0574962955516,Clear,T-Junction,1,0,0,0,High
Highway,Damaged,126.89752966371962,100,Truck,39.469997997105864,82.83841839632227,536.3069271837763,Storm,Crossroad,1,0,0,1,High
Urban,Wet,42.19584252698826,60,Bike,19.147945510029672,29.06361361920384,588.1997685651886,Storm,No,0,1,1,0,High
Highway,Wet,82.77771504772971,100,Car,29.859735918760666,82.60130512545248,862.0344262951652,Storm,No,0,1,0,0,Medium
Highway,Dry,91.13057824436441,100,Bus,36.242952964635194,51.394034128374464,338.15250029398373,Foggy,Crossroad,1,0,0,1,Medium
Urban,Wet,76.48428736039254,60,Truck,16.079113465564205,80.61511308926052,783.7839748285081,Clear,T-Junction,0,0,1,0,Medium
Highway,Dry,78.71326976691297,100,Bike,34.22805719305687,43.1730918420671,902.2052783258713,Clear,No,1,0,0,1,Medium
Rural,Damaged,107.44814403805526,80,Bike,29.59529100506538,37.81613040711153,493.24316567971726,Foggy,T-Junction,1,0,0,0,High
Highway,Snow,111.914982056601,100,Bus,19.654139345503737,58.4143263573819,613.1689180676444,Clear,Crossroad,0,1,1,1,High
